电影名称,电影类型,电影评分,上映场次
功夫瑜伽,"['动作', '冒险']",6.3,153家影院上映1691场
大闹天竺,"['喜剧', '爱情']",5.7,150家影院上映1263场
乘风破浪,['喜剧'],6.6,149家影院上映979场
熊出没·奇幻空间,['动画'],5.8,150家影院上映930场
降临,"['科幻', '悬疑']",7.7,21家影院上映72场
健忘村,"['爱情', '剧情']",6.7,39家影院上映68场
太空旅客,"['冒险', '剧情']",7.7,24家影院上映61场
大卫贝肯之倒霉特工熊,"['动画', '家庭']",5.4,16家影院上映38场
血战钢锯岭,"['剧情', '历史']",8.4,7家影院上映26场
星球大战外传：侠盗一号,"['动作', '战争']",7.6,9家影院上映17场
情圣,['喜剧'],7.0,6家影院上映13场
长城,"['奇幻', '冒险']",7.0,8家影院上映8场
罗曼蒂克消亡史,"['剧情', '动作']",7.5,4家影院上映7场
你的名字。,"['动画', '剧情']",8.4,3家影院上映4场
铁道飞虎,"['动作', '喜剧']",6.0,2家影院上映3场
赤焰战场2,"['动作', '喜剧']",7.3,1家影院上映3场
天空之眼,"['战争', '剧情']",7.5,2家影院上映2场
黄金大劫案,"['喜剧', '动作']",7.0,1家影院上映2场
魔弦传说,"['动画', '冒险']",7.8,2家影院上映2场
恐怖理发店,"['惊悚', '恐怖']",4.9,2家影院上映2场
老师也疯狂,['剧情'],4.0,1家影院上映2场
冰雪女皇之冬日魔咒,"['动画', '冒险']",5.4,1家影院上映1场
猪猪侠之英雄猪少年,['动画'],5.6,1家影院上映1场
玩命直播,"['冒险', '动作']",6.9,1家影院上映1场
有迹可循,"['爱情', '悬疑']",5.4,1家影院上映1场
了不起的菲丽西,"['动画', '冒险']",7.9,1家影院上映1场
东北往事之破马张飞,['喜剧'],5.2,1家影院上映1场
萤火奇兵,"['动画', '奇幻']",5.7,1家影院上映1场
极限特工：终极回归,"['动作', '冒险']",6.6,1家影院上映1场
决战食神,"['喜剧', '爱情']",5.6,1家影院上映1场
爱乐之城,"['爱情', '喜剧']",8.4,1家影院上映1场
西游伏妖篇,"['奇幻', '动作']",6.7,152家影院上映2002场
降临,"['科幻', '悬疑']",7.7,21家影院上映72场
太空旅客,"['冒险', '剧情']",7.7,24家影院上映61场
大卫贝肯之倒霉特工熊,"['动画', '家庭']",5.4,16家影院上映38场
星球大战外传：侠盗一号,"['动作', '战争']",7.6,9家影院上映17场
长城,"['奇幻', '冒险']",7.0,8家影院上映8场
魔弦传说,"['动画', '冒险']",7.8,2家影院上映2场
冰雪女皇之冬日魔咒,"['动画', '冒险']",5.4,1家影院上映1场
猪猪侠之英雄猪少年,['动画'],5.6,1家影院上映1场
极限特工：终极回归,"['动作', '冒险']",6.6,1家影院上映1场
西游伏妖篇,"['奇幻', '动作']",6.7,152家影院上映2002场
降临,"['科幻', '悬疑']",7.7,21家影院上映72场
太空旅客,"['冒险', '剧情']",7.7,24家影院上映61场
星球大战外传：侠盗一号,"['动作', '战争']",7.6,9家影院上映17场
长城,"['奇幻', '冒险']",7.0,8家影院上映8场
魔弦传说,"['动画', '冒险']",7.8,2家影院上映2场
极限特工：终极回归,"['动作', '冒险']",6.6,2家影院上映2场
爱乐之城,"['爱情', '喜剧']",8.4,2家影院上映2场
西游伏妖篇,"['奇幻', '动作']",6.7,152家影院上映2002场
功夫瑜伽,"['动作', '冒险']",6.3,153家影院上映1691场
大闹天竺,"['喜剧', '爱情']",5.7,150家影院上映1263场
乘风破浪,['喜剧'],6.6,149家影院上映979场
大卫贝肯之倒霉特工熊,"['动画', '家庭']",5.4,16家影院上映38场
情圣,['喜剧'],7.0,6家影院上映13场
铁道飞虎,"['动作', '喜剧']",6.0,2家影院上映3场
赤焰战场2,"['动作', '喜剧']",7.3,1家影院上映3场
黄金大劫案,"['喜剧', '动作']",7.0,1家影院上映2场
东北往事之破马张飞,['喜剧'],5.2,1家影院上映2场
萤火奇兵,"['动画', '奇幻']",5.7,1家影院上映2场
决战食神,"['喜剧', '爱情']",5.6,1家影院上映2场
爱乐之城,"['爱情', '喜剧']",8.4,1家影院上映2场
功夫瑜伽,"['动作', '冒险']",6.3,153家影院上映1691场
太空旅客,"['冒险', '剧情']",7.7,24家影院上映61场
大卫贝肯之倒霉特工熊,"['动画', '家庭']",5.4,16家影院上映38场
星球大战外传：侠盗一号,"['动作', '战争']",7.6,9家影院上映17场
长城,"['奇幻', '冒险']",7.0,8家影院上映8场
魔弦传说,"['动画', '冒险']",7.8,2家影院上映2场
冰雪女皇之冬日魔咒,"['动画', '冒险']",5.4,1家影院上映1场
玩命直播,"['冒险', '动作']",6.9,1家影院上映1场
了不起的菲丽西,"['动画', '冒险']",7.9,1家影院上映1场
萤火奇兵,"['动画', '奇幻']",5.7,1家影院上映1场
极限特工：终极回归,"['动作', '冒险']",6.6,1家影院上映1场
西游伏妖篇,"['奇幻', '动作']",6.7,152家影院上映2002场
